teacher_id,teacher_name,primary_subject,gender,total_periods_assigned,max_capacity,utilization_rate
T120,Khaled Hamdan,history,Male,6,24,25.0
T124,Tarek Al-Subaie,geography,Male,6,24,25.0
T083,Nidal Khalidi,social,Male,5,24,20.833333333333336
T103,Mishal El-Sayed,math,Male,23,24,95.83333333333334
T106,Bandar Al-Rashid,science,Male,7,24,29.166666666666668
T146,Karam Al-Dosari,islamic,Male,24,24,100.0
T158,Turki Najm,islamic,Male,24,24,100.0
T110,Hamad Al-Ghamdi,english,Male,13,24,54.166666666666664
T139,Nidal Al-Zahrani,geography,Male,6,24,25.0
T156,Faisal Qudsi,history,Male,5,24,20.833333333333336
T095,Bilal Al-Dosari,social,Male,5,24,20.833333333333336
T049,Shahad Shihab,science,Female,19,24,79.16666666666666
T072,Ghada Ismail,science,Female,7,24,29.166666666666668
T040,Jumana Zayed,arabic,Female,24,24,100.0
T047,Lujain Al-Husseini,islamic,Female,24,24,100.0
T044,Noura Al-Dosari,english,Female,14,24,58.333333333333336
T052,Dalal El-Sayed,geography,Female,4,24,16.666666666666664
T060,Yasmin Ashour,geography,Female,4,24,16.666666666666664
T002,Mariam Shawky,library,Female,9,24,37.5
T008,Yasmin Al-Ghamdi,french,Female,15,24,62.5
T024,Hanin Gamal,art,Female,18,24,75.0
T048,Rawan Al-Shammari,social,Female,5,24,20.833333333333336
T032,Mona Khalidi,chinese,Female,14,24,58.333333333333336
T004,Salma Al-Rashid,library,Female,8,24,33.33333333333333
T020,Ghada Abu Zaid,art,Female,12,24,50.0
T034,Ruba Al-Khatib,music,Female,11,24,45.83333333333333
T094,Hessa Fahmy,math,Female,19,24,79.16666666666666
T074,Huda Hassan,science,Female,7,24,29.166666666666668
T063,Laila Al-Qudwa,arabic,Female,23,24,95.83333333333334
T053,Fatma Shawky,islamic,Female,24,24,100.0
T062,Hagar Salem,english,Female,15,24,62.5
T070,Eman Al-Qudah,geography,Female,4,24,16.666666666666664
T079,Lama Nasser,history,Female,4,24,16.666666666666664
T006,Heba Kassab,library,Female,6,24,25.0
T010,Hagar Barghouti,french,Female,11,24,45.83333333333333
T026,Dalia Al-Omari,computer,Female,19,24,79.16666666666666
T090,Samar Al-Tamimi,social,Female,5,24,20.833333333333336
T014,Reem Al-Saud,pe,Female,7,24,29.166666666666668
T022,Huda Al-Subaie,art,Female,12,24,50.0
T036,Nadine Al-Faisal,music,Female,13,24,54.166666666666664
T107,Aya Najm,math,Female,19,24,79.16666666666666
T089,Kholoud Mostafa,science,Female,7,24,29.166666666666668
T065,Noha Al-Saud,arabic,Female,24,24,100.0
T069,Nadia Hamdan,islamic,Female,24,24,100.0
T068,Asmaa Al-Najjar,english,Female,14,24,58.333333333333336
T097,Reema Fathy,history,Female,4,24,16.666666666666664
T100,Rawan Shihab,geography,Female,4,24,16.666666666666664
T016,Asmaa Abdelrahman,pe,Female,8,24,33.33333333333333
T012,Maha Al-Qudwa,french,Female,9,24,37.5
T028,Maysaa Nasser,computer,Female,17,24,70.83333333333334
T092,Jumana Al-Masri,social,Female,5,24,20.833333333333336
T018,Eman Hamdan,pe,Female,9,24,37.5
T030,Nahla Al-Harbi,computer,Female,18,24,75.0
T038,Samar Mostafa,music,Female,13,24,54.166666666666664
T134,Nahla Khalidi,science,Female,17,24,70.83333333333334
T127,Rania Al-Qaisi,science,Female,7,24,29.166666666666668
T078,Dalia Sabri,arabic,Female,24,24,100.0
T086,Ruba Sabbagh,islamic,Female,24,24,100.0
T073,Aisha Al-Subaie,english,Female,12,24,50.0
T145,Nouf Fahmy,english,Female,9,24,37.5
T105,Fatma Qudsi,geography,Female,4,24,16.666666666666664
T109,Nour Al-Qahtani,geography,Female,4,24,16.666666666666664
T108,Salma Kassab,social,Female,5,24,20.833333333333336
T140,Nadine Mostafa,math,Female,19,24,79.16666666666666
T149,Reema Al-Husseini,math,Female,20,24,83.33333333333334
T091,Razan Zayed,arabic,Female,24,24,100.0
T098,Abeer Al-Husseini,arabic,Female,24,24,100.0
T147,Jawaher Ibrahim,english,Female,15,24,62.5
T111,Dina Ashour,geography,Female,4,24,16.666666666666664
T116,Maha Al-Saud,geography,Female,4,24,16.666666666666664
T112,Yasmin Barghouti,social,Female,5,24,20.833333333333336
T173,Nadia Abu Zaid,math,Female,18,24,75.0
T151,Lujain Shihab,science,Female,6,24,25.0
T162,Heba Ashour,science,Female,1,24,4.166666666666666
T119,Doaa Al-Najjar,arabic,Female,24,24,100.0
T121,Nadia Al-Qudah,arabic,Female,24,24,100.0
T157,Fatma Al-Rashid,english,Female,14,24,58.333333333333336
T117,Noha Al-Anazi,history,Female,4,24,16.666666666666664
T118,Reem Abdelrahman,history,Female,4,24,16.666666666666664
T114,Hagar Al-Qudwa,social,Female,5,24,20.833333333333336
T132,Nader Al-Harbi,math,Male,22,24,91.66666666666666
T131,Sherif Al-Otaibi,science,Male,7,24,29.166666666666668
T159,Mishal Kassab,islamic,Male,24,24,100.0
T172,Youssef Al-Qudah,arabic,Male,24,24,100.0
T148,Jamal Fathy,english,Male,14,24,58.333333333333336
T163,Fahd Barghouti,history,Male,5,24,20.833333333333336
T169,Ahmed Abdelrahman,geography,Male,5,24,20.833333333333336
T133,Yazan Saad,social,Male,5,24,20.833333333333336
T137,Fares Sabbagh,science,Male,24,24,100.0
T154,Abdulaziz El-Sayed,math,Male,22,24,91.66666666666666
T155,Abdulrahman Shawky,science,Male,22,24,91.66666666666666
T194,Ziad Al-Masri,science,Male,21,24,87.5
T189,Yazan Al-Faisal,arabic,Male,24,24,100.0
T198,Nasser Ibrahim,arabic,Male,24,24,100.0
T150,Othman Al-Shammari,english,Male,12,24,50.0
T161,Talal Al-Ghamdi,english,Male,11,24,45.83333333333333
T170,Mohamed Al-Najjar,history,Male,5,24,20.833333333333336
T174,Omar Ismail,history,Male,6,24,25.0
T207,Bilal Qudsi,social,Male,5,24,20.833333333333336
T183,Ashraf Al-Harbi,science,Male,20,24,83.33333333333334
T218,Bandar Al-Saud,science,Male,9,24,37.5
T228,Youssef Gamal,islamic,Male,24,24,100.0
T233,Hassan Al-Otaibi,arabic,Male,24,24,100.0
T168,Sultan Al-Anazi,english,Male,12,24,50.0
T187,Sherif Al-Khatib,history,Male,6,24,25.0
T180,Tarek Sabri,geography,Male,6,24,25.0
T211,Abdulrahman Al-Qahtani,social,Male,5,24,20.833333333333336
T227,Mahmoud Hassan,math,Male,20,24,83.33333333333334
T241,Alaa Al-Zahrani,islamic,Male,24,24,100.0
T248,Murad Al-Dosari,arabic,Male,24,24,100.0
T177,Hassan Gamal,english,Male,13,24,54.166666666666664
T191,Laith Mostafa,history,Male,6,24,25.0
T199,Adel Fathy,geography,Male,6,24,25.0
T224,Sultan Abu Zaid,social,Male,5,24,20.833333333333336
T235,Karim Saad,math,Male,20,24,83.33333333333334
T256,Majed El-Sayed,arabic,Male,24,24,100.0
T269,Salman Al-Saud,islamic,Male,24,24,100.0
T230,Omar Al-Omari,english,Male,13,24,54.166666666666664
T247,Laith Fahmy,english,Male,12,24,50.0
T195,Nidal Abu Hamid,history,Male,6,24,25.0
T206,Othman Shawky,geography,Male,6,24,25.0
T229,Mostafa Al-Qaisi,social,Male,5,24,20.833333333333336
T236,Tarek Khalidi,math,Male,24,24,100.0
T273,Talal Hamdan,islamic,Male,24,24,100.0
T282,Mohamed Sabri,arabic,Male,24,24,100.0
T301,Yazan Fathy,english,Male,11,24,45.83333333333333
T308,Samir Shawky,english,Male,14,24,58.333333333333336
T214,Turki Barghouti,history,Male,6,24,25.0
T217,Talal Abu Hassan,geography,Male,6,24,25.0
T238,Hany Al-Khatib,social,Male,5,24,20.833333333333336
T178,Huda Al-Qaisi,science,Female,20,24,83.33333333333334
T135,Nisreen Al-Ahmad,arabic,Female,24,24,100.0
T125,Aisha Hassan,islamic,Female,24,24,100.0
T167,Laila Al-Saud,english,Female,13,24,54.166666666666664
T181,Rula Nasser,english,Female,12,24,50.0
T123,Hend Ismail,history,Female,4,24,16.666666666666664
T130,Dalia Nasser,history,Female,4,24,16.666666666666664
T122,Eman Abu Zaid,social,Female,5,24,20.833333333333336
T179,Rania Al-Omari,math,Female,18,24,75.0
T143,Razan Al-Masri,islamic,Female,23,24,95.83333333333334
T164,Yasmin Salem,arabic,Female,24,24,100.0
T201,Reema Al-Shammari,english,Female,15,24,62.5
T136,Mona Al-Khatib,geography,Female,4,24,16.666666666666664
T138,Ruba Al-Faisal,history,Female,4,24,16.666666666666664
T128,Hanin Al-Omari,social,Female,5,24,20.833333333333336
T184,Maysaa Saad,math,Female,21,24,87.5
T182,Dalia Al-Otaibi,islamic,Female,24,24,100.0
T185,Suha Khalidi,arabic,Female,24,24,100.0
T202,Abeer Shihab,english,Female,14,24,58.333333333333336
T141,Kholoud Al-Tamimi,geography,Female,4,24,16.666666666666664
T142,Samar Zayed,geography,Female,4,24,16.666666666666664
T152,Rawan Rahman,social,Female,5,24,20.833333333333336
T190,Ruba Al-Zahrani,science,Female,18,24,75.0
T208,Dalal Al-Rashid,arabic,Female,24,24,100.0
T231,Rania Sabri,arabic,Female,24,24,100.0
T203,Lujain Rahman,english,Female,12,24,50.0
T243,Duaa Al-Tamimi,english,Female,14,24,58.333333333333336
T144,Jumana Abu Hamid,history,Female,4,24,16.666666666666664
T153,Shahad Al-Mutairi,geography,Female,4,24,16.666666666666664
T171,Doaa Hamdan,social,Female,5,24,20.833333333333336
T196,Jumana Fahmy,math,Female,17,24,70.83333333333334
T232,Hanin Nasser,islamic,Female,24,24,100.0
T288,Maysaa Al-Ahmad,arabic,Female,24,24,100.0
T258,Ghadir Qudsi,english,Female,12,24,50.0
T165,Sara Al-Qudwa,geography,Female,4,24,16.666666666666664
T160,Salma Al-Qahtani,geography,Female,4,24,16.666666666666664
T192,Nadine Al-Tamimi,social,Female,5,24,20.833333333333336
T204,Rawan Al-Mutairi,science,Female,18,24,75.0
T297,Kholoud Abu Hamid,islamic,Female,24,24,100.0
T313,Fatma Al-Qahtani,arabic,Female,23,24,95.83333333333334
T260,Dalal Najm,english,Female,11,24,45.83333333333333
T262,Mariam Al-Qahtani,english,Female,12,24,50.0
T166,Hagar Abu Hassan,geography,Female,4,24,16.666666666666664
T175,Hend Al-Subaie,history,Female,4,24,16.666666666666664
T210,Mariam Kassab,social,Female,5,24,20.833333333333336
T261,Anas Kassab,math,Male,24,24,100.0
T291,Karim Al-Faisal,islamic,Male,24,24,100.0
T292,Tarek Al-Zahrani,arabic,Male,24,24,100.0
T323,Abdulrahman Al-Najjar,english,Male,13,24,54.166666666666664
T221,Rashed Al-Najjar,history,Male,6,24,25.0
T222,Hamad Hamdan,history,Male,6,24,25.0
T245,Yazan Al-Masri,social,Male,5,24,20.833333333333336
T271,Mishal Abdelrahman,science,Male,23,24,95.83333333333334
T294,Hany Al-Tamimi,arabic,Male,24,24,100.0
T299,Sherif Al-Dosari,arabic,Male,24,24,100.0
T342,Omar Al-Faisal,english,Male,13,24,54.166666666666664
T250,Ziad Fathy,history,Male,6,24,25.0
T237,Amr Al-Ahmad,geography,Male,6,24,25.0
T259,Hamza Al-Rashid,social,Male,5,24,20.833333333333336
T274,Bandar Al-Qudah,science,Male,19,24,79.16666666666666
T310,Nasser Al-Rashid,islamic,Male,24,24,100.0
T335,Mansour Al-Otaibi,arabic,Male,24,24,100.0
T350,Hany Al-Dosari,english,Male,12,24,50.0
T254,Nasser Rahman,history,Male,6,24,25.0
T265,Abdullah Barghouti,history,Male,6,24,25.0
T264,Qasem Ashour,social,Male,5,24,20.833333333333336
T306,Ziad Al-Mutairi,math,Male,21,24,87.5
T336,Sultan Al-Harbi,arabic,Male,24,24,100.0
T344,Khaled Mostafa,arabic,Male,24,24,100.0
T398,Omar Al-Masri,english,Male,11,24,45.83333333333333
T430,Othman Al-Subaie,english,Male,15,24,62.5
T276,Badr Ismail,geography,Male,6,24,25.0
T279,Mansour Gamal,history,Male,5,24,20.833333333333336
T272,Nawaf Al-Najjar,social,Male,5,24,20.833333333333336
T346,Ibrahim Zayed,science,Male,22,24,91.66666666666666
T349,Amr Fahmy,arabic,Male,24,24,100.0
T354,Ayman Al-Shammari,arabic,Male,24,24,100.0
T441,Talal Al-Ahmad,english,Male,13,24,54.166666666666664
T281,Ahmed Al-Omari,geography,Male,5,24,20.833333333333336
T290,Ibrahim Sabbagh,history,Male,4,24,16.666666666666664
T277,Rashed Al-Subaie,social,Male,5,24,20.833333333333336
T355,Sherif Shihab,math,Male,23,24,95.83333333333334
T382,Turki Al-Qaisi,islamic,Male,24,24,100.0
T384,Nawaf Sabri,arabic,Male,24,24,100.0
T471,Laith Al-Qudwa,english,Male,11,24,45.83333333333333
T295,Ashraf Zayed,history,Male,4,24,16.666666666666664
T302,Bashar Al-Husseini,history,Male,4,24,16.666666666666664
T280,Sultan Al-Qaisi,social,Male,5,24,20.833333333333336
T205,Shahad El-Sayed,math,Female,18,24,75.0
T318,Heba Al-Qudwa,arabic,Female,24,24,100.0
T319,Dina Abu Hassan,arabic,Female,24,24,100.0
T270,Hagar Al-Anazi,english,Female,14,24,58.333333333333336
T188,Mona Sabbagh,history,Female,4,24,16.666666666666664
T176,Ghada Hassan,geography,Female,4,24,16.666666666666664
T225,Nadia Ismail,social,Female,5,24,20.833333333333336
T209,Fatma Najm,math,Female,19,24,79.16666666666666
T330,Eman Gamal,arabic,Female,24,24,100.0
T337,Rula Saad,islamic,Female,24,24,100.0
T322,Hagar Abdelrahman,english,Female,13,24,54.166666666666664
T193,Kholoud Zayed,history,Female,4,24,16.666666666666664
T186,Nahla Al-Ahmad,geography,Female,4,24,16.666666666666664
T239,Nisreen Sabbagh,social,Female,4,24,16.666666666666664
T213,Nour Ashour,science,Female,18,24,75.0
T340,Maysaa Al-Khatib,islamic,Female,24,24,100.0
T352,Jumana Fathy,islamic,Female,24,24,100.0
T371,Dina Al-Saud,english,Female,13,24,54.166666666666664
T197,Nouf Al-Dosari,history,Female,4,24,16.666666666666664
T200,Noura Al-Husseini,geography,Female,4,24,16.666666666666664
T249,Nouf Ibrahim,social,Female,4,24,16.666666666666664
T215,Dina Salem,math,Female,18,24,75.0
T362,Ghadir Najm,islamic,Female,24,24,100.0
T364,Dalal Al-Qahtani,islamic,Female,24,24,100.0
T377,Noha Abu Zaid,english,Female,12,24,50.0
T216,Yasmin Al-Qudwa,history,Female,4,24,16.666666666666664
T212,Salma Al-Ghamdi,geography,Female,4,24,16.666666666666664
T255,Lujain Al-Mutairi,social,Female,4,24,16.666666666666664
T223,Doaa Al-Qudah,math,Female,20,24,83.33333333333334
T373,Sara Abdelrahman,arabic,Female,24,24,100.0
T375,Laila Hamdan,arabic,Female,24,24,100.0
T388,Hanin Saad,english,Female,14,24,58.333333333333336
T219,Laila Al-Anazi,history,Female,4,24,16.666666666666664
T220,Maha Abdelrahman,geography,Female,4,24,16.666666666666664
T268,Yasmin Abu Hassan,social,Female,4,24,16.666666666666664
T244,Nadine Zayed,science,Female,20,24,83.33333333333334
T376,Maha Al-Qudah,arabic,Female,24,24,100.0
T381,Nadia Gamal,arabic,Female,24,24,100.0
T390,Dalia Al-Ahmad,english,Female,14,24,58.333333333333336
T240,Mona Al-Faisal,geography,Female,4,24,16.666666666666664
T234,Dalia Al-Harbi,geography,Female,4,24,16.666666666666664
T275,Doaa Abu Zaid,social,Female,4,24,16.666666666666664
T358,Bashar El-Sayed,math,Male,23,24,95.83333333333334
T387,Fahd Al-Harbi,islamic,Male,24,24,100.0
T395,Mahmoud Mostafa,islamic,Male,24,24,100.0
T304,Murad Shihab,history,Male,4,24,16.666666666666664
T307,Nidal El-Sayed,geography,Male,4,24,16.666666666666664
T283,Mahmoud Nasser,social,Male,4,24,16.666666666666664
T367,Adel Barghouti,math,Male,23,24,95.83333333333334
T400,Khaled Fahmy,arabic,Male,24,24,100.0
T407,Ashraf Rahman,arabic,Male,24,24,100.0
T333,Rashed Sabri,geography,Male,4,24,16.666666666666664
T372,Jamal Al-Anazi,history,Male,4,24,16.666666666666664
T286,Omar Saad,social,Male,4,24,16.666666666666664
T368,Majed Salem,science,Male,22,24,91.66666666666666
T418,Ziad Barghouti,arabic,Male,23,24,95.83333333333334
T414,Bashar Kassab,islamic,Male,24,24,100.0
T397,Mostafa Zayed,history,Male,4,24,16.666666666666664
T401,Hassan Al-Dosari,history,Male,4,24,16.666666666666664
T287,Ali Khalidi,social,Male,4,24,16.666666666666664
T374,Othman Al-Najjar,math,Male,21,24,87.5
T422,Nasser Al-Saud,islamic,Male,24,24,100.0
T416,Murad Al-Ghamdi,islamic,Male,24,24,100.0
T409,Alaa El-Sayed,geography,Male,4,24,16.666666666666664
T419,Nidal Salem,geography,Male,4,24,16.666666666666664
T293,Amr Mostafa,social,Male,4,24,16.666666666666664
T380,Faisal Hassan,math,Male,24,24,100.0
T432,Qasem Gamal,islamic,Male,24,24,100.0
T434,Abdulaziz Al-Omari,islamic,Male,24,24,100.0
T437,Salman Al-Otaibi,history,Male,4,24,16.666666666666664
T438,Turki Al-Harbi,history,Male,4,24,16.666666666666664
T316,Jamal Barghouti,social,Male,4,24,16.666666666666664
T412,Nader Al-Rashid,science,Male,21,24,87.5
T453,Mostafa Ibrahim,arabic,Male,24,24,100.0
T447,Mansour Al-Tamimi,islamic,Male,24,24,100.0
T442,Bandar Al-Khatib,history,Male,4,24,16.666666666666664
T446,Hamad Mostafa,geography,Male,4,24,16.666666666666664
T317,Anas Salem,social,Male,4,24,16.666666666666664
T246,Samar Abu Hamid,science,Female,18,24,75.0
T383,Hend Al-Omari,islamic,Female,24,24,100.0
T393,Suha Al-Faisal,islamic,Female,24,24,100.0
T403,Razan Fathy,english,Female,12,24,50.0
T421,Nour Abu Hassan,english,Female,15,24,62.5
T242,Ruba Mostafa,history,Female,4,24,16.666666666666664
T257,Shahad Shawky,geography,Female,4,24,16.666666666666664
T289,Suha Al-Khatib,social,Female,4,24,16.666666666666664
T251,Jawaher Al-Husseini,math,Female,19,24,79.16666666666666
T394,Nahla Al-Zahrani,arabic,Female,24,24,100.0
T404,Jumana Al-Husseini,arabic,Female,24,24,100.0
T450,Ruba Abu Hamid,english,Female,15,24,62.5
T462,Abeer Qudsi,english,Female,12,24,50.0
T263,Aya Al-Ghamdi,history,Female,4,24,16.666666666666664
T266,Heba Salem,history,Female,4,24,16.666666666666664
T326,Reem Abu Zaid,social,Female,4,24,16.666666666666664
T252,Noura Al-Shammari,math,Female,17,24,70.83333333333334
T406,Hessa Shihab,arabic,Female,24,24,100.0
T410,Abeer Shawky,islamic,Female,24,24,100.0
T284,Hanin Al-Otaibi,history,Female,4,24,16.666666666666664
T296,Nadine Al-Masri,geography,Female,4,24,16.666666666666664
T327,Doaa Ismail,social,Female,4,24,16.666666666666664
T253,Reema Shihab,science,Female,21,24,87.5
T420,Salma Al-Qudwa,arabic,Female,24,24,100.0
T435,Hend Sabri,islamic,Female,24,24,100.0
T298,Samar Fahmy,history,Female,3,24,12.5
T312,Dalal Kassab,history,Female,3,24,12.5
T332,Ghada Al-Omari,social,Female,4,24,16.666666666666664
T267,Dina Al-Qudwa,math,Female,21,24,87.5
T436,Ghada Nasser,islamic,Female,22,24,91.66666666666666
T443,Lama Sabbagh,islamic,Female,24,24,100.0
T325,Noha Al-Qudah,history,Female,4,24,16.666666666666664
T331,Hend Al-Qaisi,history,Female,3,24,12.5
T334,Huda Nasser,social,Female,4,24,16.666666666666664
T278,Eman Hassan,math,Female,21,24,87.5
T452,Nadine Al-Dosari,islamic,Female,24,24,100.0
T457,Nouf Shihab,arabic,Female,16,24,66.66666666666666
T448,Mona Zayed,islamic,Female,24,24,100.0
T338,Dalia Khalidi,history,Female,3,24,12.5
T339,Lama Al-Ahmad,geography,Female,4,24,16.666666666666664
T360,Rawan Qudsi,social,Female,4,24,16.666666666666664
T423,Adel Al-Anazi,math,Male,22,24,91.66666666666666
T464,Walid Najm,islamic,Male,23,24,95.83333333333334
T466,Ayman Al-Qahtani,islamic,Male,24,24,100.0
T455,Ali Al-Husseini,geography,Male,4,24,16.666666666666664
T481,Fadi Al-Subaie,history,Male,4,24,16.666666666666664
T321,Abdullah Al-Anazi,social,Male,4,24,16.666666666666664
T428,Jamal Abu Zaid,math,Male,22,24,91.66666666666666
T470,Bashar Salem,islamic,Male,24,24,100.0
T483,Hamza Gamal,arabic,Male,23,24,95.83333333333334
T493,Salman Al-Khatib,geography,Male,4,24,16.666666666666664
T497,Talal Mostafa,geography,Male,4,24,16.666666666666664
T324,Faisal Hamdan,social,Male,4,24,16.666666666666664
T431,Bilal Hassan,math,Male,22,24,91.66666666666666
T486,Othman Sabri,islamic,Male,24,24,100.0
T487,Bilal Nasser,arabic,Male,24,24,100.0
T499,Fahd Zayed,history,Male,4,24,16.666666666666664
T343,Ali Al-Zahrani,social,Male,4,24,16.666666666666664
T458,Ibrahim Rahman,math,Male,17,24,70.83333333333334
T488,Qasem Al-Otaibi,arabic,Male,24,24,100.0
T351,Ashraf Ibrahim,social,Male,4,24,16.666666666666664
T467,Sherif Al-Ghamdi,science,Male,19,24,79.16666666666666
T359,Laith Shawky,social,Male,4,24,16.666666666666664
T468,Nader Ashour,math,Male,22,24,91.66666666666666
T370,Karam Abu Hassan,social,Male,4,24,16.666666666666664
T285,Rula Al-Harbi,science,Female,22,24,91.66666666666666
T463,Lujain Al-Rashid,arabic,Female,24,24,100.0
T476,Yasmin Al-Najjar,islamic,Female,24,24,100.0
T490,Huda Saad,islamic,Female,24,24,100.0
T357,Reema Al-Mutairi,geography,Female,4,24,16.666666666666664
T345,Tamara Al-Tamimi,geography,Female,4,24,16.666666666666664
T369,Nour Al-Qudwa,social,Female,4,24,16.666666666666664
T303,Jawaher Al-Shammari,math,Female,23,24,95.83333333333334
T363,Wijdan Kassab,history,Female,2,24,8.333333333333332
T348,Nadine Abu Hamid,geography,Female,3,24,12.5
T378,Reem Ismail,social,Female,4,24,16.666666666666664
T311,Wijdan Najm,math,Female,20,24,83.33333333333334
T385,Aisha Nasser,history,Female,2,24,8.333333333333332
T365,Fatma Al-Ghamdi,geography,Female,2,24,8.333333333333332
T386,Huda Al-Otaibi,social,Female,4,24,16.666666666666664
T315,Aya Ashour,math,Female,21,24,87.5
T391,Lama Al-Khatib,history,Female,3,24,12.5
T366,Mariam Ashour,geography,Female,3,24,12.5
T389,Rula Khalidi,social,Female,4,24,16.666666666666664
T320,Yasmin Al-Saud,math,Female,21,24,87.5
T415,Wijdan Al-Qahtani,history,Female,2,24,8.333333333333332
T426,Hagar Hamdan,history,Female,2,24,8.333333333333332
T425,Sara Al-Najjar,social,Female,4,24,16.666666666666664
T328,Asmaa Al-Subaie,science,Female,21,24,87.5
T429,Noha Ismail,history,Female,2,24,8.333333333333332
T440,Hanin Khalidi,history,Female,2,24,8.333333333333332
T439,Rania Saad,social,Female,4,24,16.666666666666664
T475,Nidal Abdelrahman,science,Male,22,24,91.66666666666666
T405,Amr Al-Shammari,social,Male,4,24,16.666666666666664
T480,Majed Ismail,science,Male,22,24,91.66666666666666
T454,Omar Fathy,social,Male,4,24,16.666666666666664
T496,Nawaf Al-Zahrani,math,Male,21,24,87.5
T489,Abdullah Al-Harbi,social,Male,4,24,16.666666666666664
T329,Nadia Hassan,science,Female,18,24,75.0
T347,Duaa Al-Masri,science,Female,18,24,75.0
T353,Nouf Al-Husseini,science,Female,18,24,75.0
T356,Noura Rahman,math,Female,17,24,70.83333333333334
T361,Shahad Al-Rashid,science,Female,18,24,75.0
T379,Doaa Al-Subaie,math,Female,18,24,75.0
T392,Maysaa Sabbagh,science,Female,17,24,70.83333333333334
T402,Samar Ibrahim,math,Female,18,24,75.0
T408,Noura Al-Mutairi,science,Female,18,24,75.0
T411,Lujain Qudsi,math,Female,19,24,79.16666666666666
T424,Yasmin Abdelrahman,math,Female,18,24,75.0
T427,Laila Al-Qudah,science,Female,17,24,70.83333333333334
T433,Nadia Al-Qaisi,math,Female,19,24,79.16666666666666
T444,Maysaa Al-Faisal,science,Female,18,24,75.0
T445,Suha Al-Zahrani,math,Female,19,24,79.16666666666666
T472,Salma Abu Hassan,math,Female,16,24,66.66666666666666
T473,Nour Al-Saud,science,Female,18,24,75.0
T226,Mohamed Al-Subaie,science,Male,7,24,29.166666666666668
